Heure_darrivée,Heure_de_depart
5.0,6.0
5.0,6.0
5.0,6.0
5.0,6.0
6.0,7.0
6.0,7.0
6.0,7.0
6.0,7.0
7.0,8.0
7.0,8.0
7.0,8.0
7.0,8.0
8.0,9.0
8.0,9.0
8.0,9.0
8.0,9.0
9.0,10.0
9.0,10.0
9.0,10.0
9.0,10.0
10.0,11.0
10.0,11.0
10.0,11.0
10.0,11.0
11.0,12.0
11.0,12.0
11.0,12.0
11.0,12.0
12.0,13.0
12.0,13.0
17.0,18.0
17.0,18.0
18.0,19.0
18.0,19.0
18.0,19.0
18.0,19.0
19.0,20.0
19.0,20.0
19.0,20.0
19.0,20.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
21.0,22.0
21.0,22.0
44.0,45.0
44.0,45.0
44.0,45.0
44.0,45.0
44.0,45.0
44.0,45.0
